"X","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
931,6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5
902,7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
71,7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6
1550,7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,8
776,7.2,1,0,3,0.102,7,16,0.99586,3.43,0.46,10,5
876,8.8,0.31,0.4,2.8,0.109,7,16,0.99614,3.31,0.79,11.8,7
896,7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6
997,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7
270,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
137,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5
673,9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5,5
628,8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5
1070,8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8,5
64,7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5
531,9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6
1476,5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.5666666666667,7
1451,7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,7
1244,8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,5
1246,7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5
836,7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3,5
602,13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,6
1146,8.2,0.2,0.43,2.5,0.076,31,51,0.99672,3.53,0.81,10.4,6
331,10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6
901,8.9,0.31,0.36,2.6,0.056,10,39,0.99562,3.4,0.69,11.8,5
502,10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7
291,8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
743,6.5,0.615,0,1.9,0.065,9,18,0.9972,3.46,0.65,9.2,5
829,7.8,0.57,0.09,2.3,0.065,34,45,0.99417,3.46,0.74,12.7,8
919,8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6
1193,7.2,0.25,0.37,2.5,0.063,11,41,0.99439,3.52,0.8,12.4,7
729,6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5
1365,7.2,0.605,0.02,1.9,0.096,10,31,0.995,3.46,0.53,11.8,6
69,9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5
1344,7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
504,10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,7
1100,8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5
1026,8.6,0.83,0,2.8,0.095,17,43,0.99822,3.33,0.6,10.4,6
1449,6.9,0.58,0.01,1.9,0.08,40,54,0.99683,3.4,0.73,9.7,5
786,9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,5
1130,10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,6
1135,8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,7
855,9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6
374,7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2,5
1096,9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5,5
449,8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,6
888,10.7,0.52,0.38,2.6,0.066,29,56,0.99577,3.15,0.79,12.1,7
971,10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6
1253,7.1,0.72,0,1.8,0.123,6,14,0.99627,3.45,0.58,9.8,5
335,7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7
953,8.2,0.31,0.4,2.2,0.058,6,10,0.99536,3.31,0.68,11.2,7
1080,7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,7
618,11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8,6
271,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6
207,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
436,12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5
1569,7,0.56,0.13,1.6,0.077,25,42,0.99629,3.34,0.59,9.2,5
1001,7.5,0.43,0.3,2.2,0.062,6,12,0.99495,3.44,0.72,11.5,7
601,8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,4
1522,6.9,0.48,0.2,1.9,0.082,9,23,0.99585,3.39,0.43,9.05,4
387,7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,6
1287,7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4,6
1092,7.9,0.34,0.42,2,0.086,8,19,0.99546,3.35,0.6,11.4,6
1144,7,0.22,0.3,1.8,0.065,16,20,0.99672,3.61,0.82,10,6
744,11.6,0.41,0.58,2.8,0.096,25,101,1.00024,3.13,0.53,10,5
565,13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,6
792,8.8,0.64,0.17,2.9,0.084,25,130,0.99818,3.23,0.54,9.6,5
742,9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5,5
1392,8,0.64,0.22,2.4,0.094,5,33,0.99612,3.37,0.58,11,5
523,8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,5
586,7.6,0.51,0.24,2.4,0.091,8,38,0.998,3.47,0.66,9.6,6
256,8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,5
1388,7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5
88,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5
11,6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5
1342,7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
1597,6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,6
700,11.8,0.38,0.55,2.1,0.071,5,19,0.9986,3.11,0.62,10.8,6
1311,7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5
842,6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,5
685,9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,5
280,8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7
803,5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,7
1481,5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1,4
778,6.9,0.635,0.17,2.4,0.241,6,18,0.9961,3.4,0.59,10.3,6
1088,7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,6
172,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6
1322,5,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6
160,6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6
468,8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,6
1462,6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,4
741,8.3,0.76,0.29,4.2,0.075,12,16,0.9965,3.45,0.68,11.5,6
365,12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7
591,9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5
1251,7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6
834,11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9,4
243,7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,6
1289,7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5
535,10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,6
1599,6,0.31,0.47,3.6,0.067,18,42,0.99549,3.39,0.66,11,6
982,9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10,5
112,8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5
456,11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,8
1117,7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,6
789,10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6
631,8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,6
1581,7.4,0.35,0.33,2.4,0.068,9,26,0.9947,3.36,0.6,11.9,6
969,9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2,6
482,9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,8
1272,7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,6
105,7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,5
1471,10,0.69,0.11,1.4,0.084,8,24,0.99578,2.88,0.47,9.7,5
1485,6.8,0.91,0.06,2,0.06,4,11,0.99592,3.53,0.64,10.9,4
1535,6.6,0.56,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7,7
516,8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,5
1419,7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,5
892,7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5
139,7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,5
481,10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,5
843,10.6,0.5,0.45,2.6,0.119,34,68,0.99708,3.23,0.72,10.9,6
250,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6
330,10.7,0.46,0.39,2,0.061,7,15,0.9981,3.18,0.62,9.5,5
633,7.6,0.41,0.14,3,0.087,21,43,0.9964,3.32,0.57,10.5,6
195,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5
1123,6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,6
1122,6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,6
1082,7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,7
988,7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4,5
8,7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7
258,6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,5
635,7.9,0.35,0.21,1.9,0.073,46,102,0.9964,3.27,0.58,9.5,5
262,7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4
1598,5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,5
928,8.4,0.67,0.19,2.2,0.093,11,75,0.99736,3.2,0.59,9.2,4
206,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
199,5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7
1299,5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,6
1258,7,0.58,0.28,4.8,0.085,12,69,0.99633,3.32,0.7,11,6
1549,11.2,0.4,0.5,2,0.099,19,50,0.99783,3.1,0.58,10.4,5
753,7.6,0.54,0.13,2.5,0.097,24,66,0.99785,3.39,0.61,9.4,5
398,11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6
1242,9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,5
1179,5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,5
1233,7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5
818,10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9,6
1373,8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,5
660,7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,4
347,6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,7
1098,8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5
671,6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,5
55,7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6
1427,7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,6
1068,11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7
860,6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6
932,7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5
1567,6.7,0.16,0.64,2.1,0.059,24,52,0.99494,3.34,0.71,11.2,6
1314,7,0.36,0.21,2.3,0.086,20,65,0.99558,3.4,0.54,10.1,6
194,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5
460,11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,3
1540,7.2,0.39,0.32,1.8,0.065,34,60,0.99714,3.46,0.78,9.9,5
1101,8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4,6
998,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7
713,8.7,0.69,0,3.2,0.084,13,33,0.9992,3.36,0.45,9.4,5
355,6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,6
470,8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,5
339,12.4,0.49,0.58,3,0.103,28,99,1.0008,3.16,1,11.5,6
200,6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4
1512,7.1,0.69,0.04,2.1,0.068,19,27,0.99712,3.44,0.67,9.8,5
1283,7.9,0.765,0,2,0.084,9,22,0.99619,3.33,0.68,10.9,6
893,10.1,0.45,0.23,1.9,0.082,10,18,0.99774,3.22,0.65,9.3,6
766,9.2,0.67,0.1,3,0.091,12,48,0.99888,3.31,0.54,9.5,6
1136,8,0.25,0.43,1.7,0.067,22,50,0.9946,3.38,0.6,11.9,6
1029,7.2,0.34,0.21,2.5,0.075,41,68,0.99586,3.37,0.54,10.1,6
469,11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,6
479,9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5
612,13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,5
746,7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6
1286,11.3,0.37,0.5,1.8,0.09,20,47,0.99734,3.15,0.57,10.5,5
290,11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,5
466,10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,5
488,10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,6
1479,7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,3
1319,7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,6
321,9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7
9,7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7
867,6.8,0.49,0.22,2.3,0.071,13,24,0.99438,3.41,0.83,11.3,6
281,11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6
642,9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5
907,7.2,0.54,0.27,2.6,0.084,12,78,0.9964,3.39,0.71,11,5
708,7.4,0.49,0.19,3,0.077,16,37,0.9966,3.37,0.51,10.5,5
1064,10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,6
1533,7.2,0.53,0.13,2,0.058,18,22,0.99573,3.21,0.68,9.9,6
1020,7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,5
